ID,All_fragments,All_fragments_h,Counts
BIOFACQUIM_All_frag_585,*c1cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc2c1,O=c1cc(-c2ccc(O)cc2)oc2cccc(O)c12,1
BIOFACQUIM_All_frag_586,*c1ccc(C)c2c(OC)cc(=O)oc12,COc1cc(=O)oc2cccc(C)c12,1
BIOFACQUIM_All_frag_587,*c1cc(O)c2c(=O)cc(*)oc2c1,O=c1ccoc2cccc(O)c12,1
BIOFACQUIM_All_frag_588,*[C@]1(CO)O[C@H](CO)[C@@H](O)[C@@H]1O,OC[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,1
BIOFACQUIM_All_frag_589,*[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,OC[C@H]1OC[C@H](O)[C@@H]1O,1
BIOFACQUIM_All_frag_590,*n1cnc2c(=O)[nH]cnc21,O=c1[nH]cnc2[nH]cnc12,1
BIOFACQUIM_All_frag_591,*c1oc2cc(O)c(OC)c(O)c2c(=O)c1OC,COc1c(O)cc2occ(OC)c(=O)c2c1O,1
BIOFACQUIM_All_frag_592,*C1C(=O)CC(OC)C(=O)[C@]1(C)O,COC1CC(=O)C[C@@](C)(O)C1=O,1
BIOFACQUIM_All_frag_593,*C1=C(C)C(=O)C(OC)=CC1=O,COC1=CC(=O)C=C(C)C1=O,1
BIOFACQUIM_All_frag_594,*c1ccc(CCCC)cc1,CCCCc1ccccc1,1
BIOFACQUIM_All_frag_595,*c1ccc(*)c(OC)c1,COc1ccccc1,1
BIOFACQUIM_All_frag_596,*c1ccc(-c2cc(=O)c3c(O)c(O)c(OC)cc3o2)cc1OC,COc1cccc(-c2cc(=O)c3c(O)c(O)c(OC)cc3o2)c1,1
BIOFACQUIM_All_frag_597,*c1ccc(Oc2ccc(*)cc2OC)c(OC)c1,COc1ccccc1Oc1ccccc1OC,1
BIOFACQUIM_All_frag_598,*c1ccc(Oc2ccc(-c3cc(=O)c4c(O)c(O)c(OC)cc4o3)cc2OC)c(OC)c1,COc1ccccc1Oc1ccc(-c2cc(=O)c3c(O)c(O)c(OC)cc3o2)cc1OC,1
BIOFACQUIM_All_frag_599,*C1=CC2C(=O)OC[C@]23CC[C@@H](C)[C@](C)(CCC(C)=O)C3C1,CC(=O)CC[C@]1(C)C2CC=CC3C(=O)OC[C@]32CC[C@H]1C,1
BIOFACQUIM_All_frag_600,*C1C=C2C(=O)OC[C@]23CC[C@@H](C)[C@](C)(CCc2ccoc2O)C3C1,C[C@@H]1CC[C@@]23COC(=O)C2=CCCC3[C@@]1(C)CCc1ccoc1O,1
