ID,All_fragments,All_fragments_h,Counts
NuBBE_All_frag_120,*CC[C@@]1(C)[C@@H]2C[C@@H](OC)C=C3[C@@H](O*)O[C@@H](O*)[C@]32[C@@H](OC(C)=O)[C@H](*)[C@H]1C,CC[C@]1(C)[C@H](C)C[C@H](OC(C)=O)[C@@]23C(=C[C@H](OC)C[C@@H]12)[C@@H](O)O[C@H]3O,4
NuBBE_All_frag_121,*CC[C@]1(C)[C@H](C)[C@@H](O*)[C@H](*)[C@@]23C(=C[C@H](OC)C[C@@H]12)[C@@H](*)O[C@H]3O*,CC[C@]1(C)[C@H](C)[C@@H](O)C[C@@]23C(=C[C@H](OC)C[C@@H]12)CO[C@H]3O,4
NuBBE_All_frag_122,*O[C@@H]1O[C@H](*)C2=C[C@H](OC)C[C@@H]3[C@@]21[C@@H](*)[C@H](*)[C@@H](C)[C@@]3(C)C/C=C(/C)C=C,C=C/C(C)=C\C[C@]1(C)[C@H](C)CC[C@@]23C(=C[C@H](OC)C[C@@H]12)CO[C@H]3O,4
NuBBE_All_frag_123,*CC[C@]1(C)[C@H](C)[C@@H](O*)[C@H](*)[C@@]23C(=C[C@H](OC)C[C@@H]12)[C@@H](O*)O[C@H]3*,CC[C@]1(C)[C@H](C)[C@@H](O)C[C@@]23CO[C@H](O)C2=C[C@H](OC)C[C@H]31,4
NuBBE_All_frag_124,*CC[C@]1(C)[C@H](C)[C@@H](O*)[C@H](*)[C@@]23C(=C[C@H](OC)C[C@@H]12)[C@@H](O*)O[C@H]3O*,CC[C@]1(C)[C@H](C)[C@@H](O)C[C@@]23C(=C[C@H](OC)C[C@@H]12)[C@@H](O)O[C@H]3O,4
NuBBE_All_frag_125,*c1cc(O)c(OC)cc1O,COc1cc(O)ccc1O,4
NuBBE_All_frag_126,*CC[C@]1(C)[C@H](C)[C@@H](O*)[C@H](O*)[C@@]23C(=C[C@H](OC)C[C@@H]12)[C@@H](*)O[C@H]3O*,CC[C@]1(C)[C@H](C)[C@@H](O)[C@H](O)[C@@]23C(=C[C@H](OC)C[C@@H]12)CO[C@H]3O,4
NuBBE_All_frag_127,*CC[C@]1(C)[C@H](C)[C@@H](O*)[C@H](O*)[C@@]23C(=C[C@H](OC)C[C@@H]12)[C@@H](O*)O[C@H]3*,CC[C@]1(C)[C@H](C)[C@@H](O)[C@H](O)[C@@]23CO[C@H](O)C2=C[C@H](OC)C[C@@H]13,4
NuBBE_All_frag_128,*CC[C@]1(C)[C@H](C)[C@@H](O*)[C@H](O*)[C@@]23C(=C[C@H](OC)C[C@@H]12)[C@@H](O*)O[C@H]3O*,CC[C@]1(C)[C@H](C)[C@@H](O)[C@H](O)[C@@]23C(=C[C@H](OC)C[C@@H]12)[C@@H](O)O[C@H]3O,4
NuBBE_All_frag_129,*CC[C@]1(C)[C@H](C)[C@@H](O*)[C@H](OC(C)=O)[C@@]23C(=C[C@H](OC)C[C@@H]12)[C@@H](*)O[C@H]3*,CC[C@]1(C)[C@H](C)[C@@H](O)[C@H](OC(C)=O)[C@@]23COCC2=C[C@H](OC)C[C@@H]13,4
NuBBE_All_frag_130,*CC[C@]1(C)[C@H](C)[C@@H](O*)[C@H](OC(C)=O)[C@@]23C(=C[C@H](OC)C[C@@H]12)[C@@H](*)O[C@H]3O*,CC[C@]1(C)[C@H](C)[C@@H](O)[C@H](OC(C)=O)[C@@]23C(=C[C@H](OC)C[C@@H]12)CO[C@H]3O,4
NuBBE_All_frag_131,*CC[C@]1(C)[C@H](C)[C@@H](O*)[C@H](OC(C)=O)[C@@]23C(=C[C@H](OC)C[C@@H]12)[C@@H](O*)O[C@H]3*,CC[C@]1(C)[C@H](C)[C@@H](O)[C@H](OC(C)=O)[C@@]23CO[C@H](O)C2=C[C@H](OC)C[C@@H]13,4
